pair_id,run_seed,pair_seed,style,modality,channels,visual_clarity,scale_ratio,noise_scale,pv_amplitude,reference,search,true_center_x,true_center_y,ref_span_in_search_px,rotation_deg,scale_jitter,on_mat_boundary,n_mats,nm_per_search_px,ref_blur_sigma,ref_dose,ref_read_sigma,ref_edge_gain,search_blur_sigma,search_dose,search_read_sigma,search_edge_gain,ref_exposure,search_exposure,search_defocus_nm
10,42,4200136,dram,sem,1,False,10.0,1.0,0.1582,pair010_reference.png,pair010_search.png,448.91,211.66,100.0,0.566,0.9973,1,4,10.0,0.7273,915.63,0.00593,0.2635,1.1107,356.89,0.01327,0.2286,,,
11,42,4200137,finfet,sem,1,False,10.0,1.0,0.253,pair011_reference.png,pair011_search.png,304.74,782.18,100.0,-0.752,0.9873,0,9,10.0,0.6287,1128.58,0.00468,0.2454,0.96,344.01,0.01092,0.2149,,,
12,42,4200138,dram,sem,1,False,10.0,1.0,0.2436,pair012_reference.png,pair012_search.png,457.79,235.98,100.0,-0.993,0.9795,0,4,10.0,0.6942,1282.48,0.00539,0.2671,1.0838,419.44,0.01132,0.1935,,,
13,42,4200139,finfet,sem,1,False,10.0,1.0,0.2559,pair013_reference.png,pair013_search.png,664.19,233.63,100.0,-1.032,1.0015,0,9,10.0,0.7389,1287.64,0.00409,0.2677,1.1708,398.68,0.00976,0.1786,,,
14,42,4200140,dram,sem,1,False,10.0,1.0,0.158,pair014_reference.png,pair014_search.png,478.77,223.11,100.0,0.048,0.9708,1,4,10.0,0.5668,1333.73,0.00426,0.2294,1.199,377.16,0.0146,0.2178,,,
15,42,4200141,finfet,sem,1,False,10.0,1.0,0.236,pair015_reference.png,pair015_search.png,510.4,295.67,100.0,1.297,1.0015,1,4,10.0,0.6692,1182.03,0.00699,0.2128,0.9642,386.64,0.01296,0.2239,,,
16,42,4200142,dram,sem,1,False,10.0,1.0,0.1297,pair016_reference.png,pair016_search.png,755.57,283.19,100.0,-0.753,0.9828,0,9,10.0,0.5576,1299.74,0.00514,0.2607,1.2342,340.91,0.01036,0.1891,,,
17,42,4200143,finfet,sem,1,False,10.0,1.0,0.0948,pair017_reference.png,pair017_search.png,228.24,212.83,100.0,-0.722,0.999,0,9,10.0,0.7502,1159.86,0.00773,0.2743,1.0315,338.37,0.01215,0.1811,,,
18,42,4200144,dram,sem,1,False,10.0,1.0,0.1016,pair018_reference.png,pair018_search.png,659.08,314.36,100.0,0.247,0.9977,0,9,10.0,0.8363,1195.32,0.00547,0.2396,0.9534,345.85,0.01574,0.205,,,
19,42,4200145,finfet,sem,1,False,10.0,1.0,0.2671,pair019_reference.png,pair019_search.png,309.91,384.53,100.0,-0.597,1.027,0,16,10.0,0.8355,1039.46,0.00677,0.2781,1.2338,405.2,0.00866,0.2567,,,
20,42,4200146,dram,sem,1,False,10.0,1.0,0.0381,pair020_reference.png,pair020_search.png,571.49,639.78,100.0,-1.339,0.9916,0,9,10.0,0.7246,1132.52,0.00707,0.1952,1.1792,375.18,0.01454,0.165,,,
21,42,4200147,finfet,sem,1,False,10.0,1.0,0.2234,pair021_reference.png,pair021_search.png,227.07,650.35,100.0,-0.839,0.9799,0,4,10.0,0.7446,1070.68,0.00585,0.2587,1.1816,409.76,0.01548,0.1765,,,
22,42,4200148,dram,sem,1,False,10.0,1.0,0.1402,pair022_reference.png,pair022_search.png,769.78,423.07,100.0,0.492,1.0048,1,4,10.0,0.7377,910.79,0.00693,0.2143,1.2068,412.16,0.01294,0.2681,,,
23,42,4200149,finfet,sem,1,False,10.0,1.0,0.2257,pair023_reference.png,pair023_search.png,688.14,535.45,100.0,-0.842,1.0252,1,4,10.0,0.8436,1197.03,0.00739,0.1979,1.0837,358.62,0.01435,0.1661,,,
24,42,4200150,dram,sem,1,False,10.0,1.0,0.2002,pair024_reference.png,pair024_search.png,717.66,455.52,100.0,0.783,0.9971,1,4,10.0,0.7237,1362.8,0.00731,0.1843,1.2204,466.34,0.01071,0.2366,,,
25,42,4200151,finfet,sem,1,False,10.0,1.0,0.1134,pair025_reference.png,pair025_search.png,685.19,697.91,100.0,-0.819,0.9987,1,9,10.0,0.5942,1317.5,0.00817,0.211,0.9429,377.39,0.00953,0.2089,,,
26,42,4200152,dram,sem,1,False,10.0,1.0,0.0946,pair026_reference.png,pair026_search.png,258.01,469.99,100.0,0.117,0.992,1,9,10.0,0.5726,949.61,0.00533,0.2081,1.199,490.11,0.01539,0.194,,,
27,42,4200153,finfet,sem,1,False,10.0,1.0,0.0797,pair027_reference.png,pair027_search.png,688.72,592.6,100.0,0.68,1.0252,0,9,10.0,0.7107,1023.93,0.00687,0.2176,1.0974,415.41,0.01444,0.1954,,,
28,42,4200154,dram,sem,1,False,10.0,1.0,0.0037,pair028_reference.png,pair028_search.png,428.64,348.19,100.0,1.325,1.0296,1,16,10.0,0.7939,998.15,0.00782,0.2561,1.0936,415.07,0.01471,0.2144,,,
29,42,4200155,finfet,sem,1,False,10.0,1.0,0.0802,pair029_reference.png,pair029_search.png,668.5,272.64,100.0,0.466,1.014,1,9,10.0,0.5965,1191.02,0.00761,0.2194,0.9776,374.21,0.0141,0.2572,,,
